,DIAGNOSIS_CODE,DIAGNOSIS_NAME,STD_INDICATOR,APPROVED_INDICATOR,CREATE_DATE,INPUT_CODE,INPUT_CODE_WB,DIAGNOSIS_DICT,DISEASE_SORT,CODE_VERSION
0,H40.207,慢性闭角型青光眼,1,1,29-9月 -15,MXBJXQGY,,,,ICD10_15
3,H40.401,青光眼并发虹膜睫状体炎,1,1,29-9月 -15,QGYBFHMJ,,,,ICD10_15
5,H40.503,新生血管性青光眼,1,1,29-9月 -15,XSXGXQGY,,,,ICD10_15
6,H40.504,继发性青光眼,1,1,29-9月 -15,JFXQGY,,,,ICD10_15
8,H40.506,晶体脱位后青光眼,1,1,29-9月 -15,JTTWHQGY,,,,ICD10_15
10,H40.508,无晶体性青光眼,1,1,29-9月 -15,WJTXQGY,,,,ICD10_15
16,H40.901,青光眼,1,1,29-9月 -15,QGY,,,,ICD10_15
18,H43.101,玻璃体积血,1,1,29-9月 -15,BLTJX,,,,ICD10_15
20,H43.301,玻璃体混浊,1,1,29-9月 -15,BLTHZ,,,,ICD10_15
21,H43.801,玻璃体脱离,1,1,29-9月 -15,BLTTL,,,,ICD10_15
27,H43.807,玻璃体变性,1,1,29-9月 -15,BLTBX,,,,ICD10_15
29,H44.001,眼内炎,1,1,29-9月 -15,YNY,,,,ICD10_15
34,H44.006,眼脓肿,1,1,29-9月 -15,YNZ,,,,ICD10_15
45,H44.402,巩膜瘘,1,1,29-9月 -15,GML,,,,ICD10_15
46,H44.403,低眼压症,1,1,29-9月 -15,DYYZ,,,,ICD10_15
48,H44.501,眼球萎缩,1,1,29-9月 -15,YQWS,,,,ICD10_15
59,H46  01,视神经乳头炎,1,1,29-9月 -15,SSJRTY,,,,ICD10_15
60,H46  02,球后视神经炎,1,1,29-9月 -15,QHSSJY,,,,ICD10_15
61,H46  03,视神经炎,1,1,29-9月 -15,SSJY,,,,ICD10_15
63,H47.001,缺血性视神经病变,1,1,29-9月 -15,QXXSSJBB,,,,ICD10_15
64,H47.002,缺血性视乳头病变,1,1,29-9月 -15,QXXSRTBB,,,,ICD10_15
65,H47.003,视神经病变,1,1,29-9月 -15,SSJBB,,,,ICD10_15
66,H47.004,视神经麻痹,1,1,29-9月 -15,SSJMB,,,,ICD10_15
67,H47.005,视神经受压,1,1,29-9月 -15,SSJSY,,,,ICD10_15
72,H47.101,视乳头水肿,1,1,29-9月 -15,SRTSZ,,,,ICD10_15
74,H47.201,视神经萎缩,1,1,29-9月 -15,SSJWS,,,,ICD10_15
80,H47.301,视乳头病变,1,1,29-9月 -15,SRTBB,,,,ICD10_15
90,H49.001,动眼神经麻痹,1,1,29-9月 -15,DYSJMB,,,,ICD10_15
91,H49.002,动眼神经炎,1,1,29-9月 -15,DYSJY,,,,ICD10_15
94,H49.201,外展神经麻痹,1,1,29-9月 -15,WZSJMB,,,,ICD10_15
101,H49.806,眶上裂综合征,1,1,29-9月 -15,KSLZHZ,,,,ICD10_15
102,H49.807,眼外肌麻痹,1,1,29-9月 -15,YWJMB,,,,ICD10_15
107,H49.903,眼肌麻痹,1,1,29-9月 -15,YJMB,,,,ICD10_15
115,H50.102,外斜视,1,1,29-9月 -15,WXS,,,,ICD10_15
123,J98.301,代偿性肺气肿,1,1,29-9月 -15,DCXFQZ,,,,ICD10_15
124,J98.401,肺结节,1,1,29-9月 -15,FJJ,,,,ICD10_15
125,J98.402,纵隔囊肿(支气管源性),1,1,29-9月 -15,ZGNZZQGY,,,,ICD10_15
126,J98.403,肺部感染,1,1,29-9月 -15,FBGR,,,,ICD10_15
128,J98.405,肺囊肿,1,1,29-9月 -15,FNZ,,,,ICD10_15
130,J98.407,肺钙化,1,1,29-9月 -15,FGH,,,,ICD10_15
133,J98.410,肺弥漫性病变,1,1,29-9月 -15,FMMXBB,,,,ICD10_15
134,J98.412,肺功能不全,1,1,29-9月 -15,FGNBQ,,,,ICD10_15
136,J98.414,肺肿物,1,1,29-9月 -15,FZW,,,,ICD10_15
141,J98.501,纵隔炎,1,1,29-9月 -15,ZGY,,,,ICD10_15
142,J98.502,纵隔疝,1,1,29-9月 -15,ZGS,,,,ICD10_15
