ILL	频率
E11.901	36906
I10  06	24623
I10  03	24603
I25.101	24183
I63.901	20337
J98.403	14761
Z98.819	10140
I10  05	9286
Z34.801	9236
X59.903	9097
Z38.001	8801
D64.902	8467
S69.903	8410
414.001	8183
E11.504	7965
C34.901	7664
I69.301	7539
S68.101	7189
401.903	6988
J18.901	6677
K29.502	6536
E14.901	6408
S66.902	6163
M51.201	5797
401.907	5563
W31.904	5422
Z37.001	5396
E77.801	5391
N40  01	5381
465.901	5338
434.903	5077
250.002	5026
S61.902	4933
I49.901	4792
I61.901	4456
S62.601	4407
I69.101	4366
J44.101	4282
S61.002	4276
O47.101	4150
N85.803	4097
I67.803	4092
N18.001	3988
J06.903	3900
I50.904	3771
I48  04	3698
540.901	3586
E87.601	3526
K80.201	3478
427.901	3354
E87.803	3330
Z00.001	3293
Z98.830	3233
N39.002	3156
I63.902	3098
K74.602	3093
V25.301	3086
486  01	3014
W19.901	2990
T14.006	2875
578.902	2833
K76.001	2821
K35.901	2821
Z48.901	2804
574.102	2800
746.901	2793
C16.901	2792
K81.101	2697
I70.202	2673
C15.901	2589
K92.204	2574
401.902	2572
250.003	2550
V70.001	2534
K56.701	2505
Z98.829	2501
J44.901	2493
L40.901	2472
K31.701	2436
N18.901	2433
M47.821	2421
518.801	2404
V22.201	2391
R94.501	2384
J42  03	2383
O80.901	2376
E78.501	2372
R10.401	2353
Z93.001	2336
T14.003	2284
L89  01	2247
O42.901	2244
I11.901	2205
295.901	2196
I50.903	2139
J94.803	2083
S32.001	2049
162.901	2032
J42  02	1994
959.501	1980
886.001	1964
D25.901	1958
Z98.841	1956
650  01	1944
K63.501	1939
G40.803	1925
I20.901	1922
E11.702	1916
K80.102	1915
722.101	1901
S65.901	1886
E919.901	1855
O04.904	1829
G20  02	1791
M81400/3	1786
Z98.860	1752
535.102	1750
K74.603	1715
C22.001	1712
I50.910	1701
Q24.911	1697
J96.901	1692
S67.001	1677
S22.301	1676
S99.901	1645
M81400/0	1635
V89.203	1634
M80100/3	1615
E928.902	1604
S62.611	1599
